cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44095,9/26/2020,ABC News/The Washington Post,568,lv,1.245238,0,54,53.25167,53.8772,NA,70024,130435
2020,North Carolina,44138,Joseph R. Biden Jr.,"Monday, October 12, 2020",44121,ABC News/The Washington Post,646,lv,1.407856,0.4391763,49.5,49.22849,49.18126,NA,71441,133793
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44069,9/1/2020,ALG Research,500,lv,0.6473723,0,50,49.87816,51.00852,NA,70092,130584
2020,North Carolina,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,44096,"Monday, September 28, 2020",ALG Research,822,v,0.6241342,0,50,48.70365,49.34225,NA,70106,130600
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Wednesday, September 30, 2020",44112,Baldwin Wallace University,1140,LV,0.791219,0.1186829,49.6,50.42418,99,NA,70721,132290
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Tuesday, September 8, 2020",9/22/2020,Baldwin Wallace University,1012,lv,0.7620288,0,47.3,48.12308,49.02236,NA,69702,129962
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Friday, August 28, 2020",9/8/2020,Benenson Strategy Group/GS Strategy Group,1600,lv,2.26868,0,49,49.23656,50.30337,NA,68581,128408
2020,North Carolina,44138,Joseph R. Biden Jr.,44071,44082,Benenson Strategy Group/GS Strategy Group,1600,lv,2.26868,0,48,47.91197,49.01786,NA,68576,128402
2020,North Carolina,44138,Joseph R. Biden Jr.,44034,44036,Cardinal Point Analytics (CardinalGPS),735,lv,0.7,0,46.8,47.41267,48.60242,NA,67834,126975
2020,North Carolina,44138,Joseph R. Biden Jr.,44025,44027,Cardinal Point Analytics (CardinalGPS),547,lv,0.6,0,47.7,48.31337,49.52461,NA,67586,126453
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44120,44123,Change Research,574,lv,0.5338545,0.2114914,49,49.49,49.41466,NA,71523,133961
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Friday, October 2, 2020",44108,Change Research,468,lv,0.547435,0.0533378,50,50.48972,50.62025,NA,70608,132013
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Friday, September 18, 2020",9/20/2020,Change Research,579,lv,0.5571989,0,49,49.48966,50.28988,NA,69685,129907
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Friday, September 4, 2020",9/6/2020,Change Research,829,lv,0.7047589,0,50,50.48972,51.55084,NA,68537,128312
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44064,44066,Change Research,984,lv,0.8284237,0,49,49.48966,50.62167,NA,68208,127745
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44050,44052,Change Research,456,lv,0.5331308,0,48,48.48935,49.51677,NA,68015,127366
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44036,44038,Change Research,382,lv,0.4084386,0,48,48.48935,49.68142,NA,67812,126906
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44022,44024,Change Research,743,lv,0.6155448,0,50,50.48972,51.77295,NA,67091,125354
2020,North Carolina,44138,Joseph R. Biden Jr.,"Friday, October 16, 2020",44123,Change Research,521,lv,0.5323088,0.1919713,50,49.92628,49.85628,NA,71522,133960
2020,North Carolina,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,44106,"Sunday, October 4, 2020",Change Research,396,lv,0.4976829,0.0064367,49,48.9263,49.05155,NA,70607,132012
2020,North Carolina,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,44092,"Sunday, September 20, 2020",Change Research,579,lv,0.5966712,0,48,47.92636,48.77554,NA,69684,129906
2020,North Carolina,44138,Joseph R. Biden Jr.,44078,44080,Change Research,442,lv,0.5026088,0,49,48.9263,50.028,NA,68536,128311
2020,North Carolina,44138,Joseph R. Biden Jr.,44064,44066,Change Research,560,lv,0.6481425,0,48,47.92636,49.05305,NA,68207,127744
2020,North Carolina,44138,Joseph R. Biden Jr.,44050,44052,Change Research,491,lv,0.6,0,47,46.92645,47.9892,NA,68014,127365
2020,North Carolina,44138,Joseph R. Biden Jr.,44036,44038,Change Research,284,lv,0.3,0,49,48.9263,50.09818,NA,67811,126905
2020,North Carolina,44138,Joseph R. Biden Jr.,44022,44024,Change Research,655,lv,0.6,0,47,46.92645,48.11309,NA,67090,125353
2020,North Carolina,44138,Joseph R. Biden Jr.,44008,44010,Change Research,468,lv,0.4795664,0,51,50.9263,51.97267,NA,66959,125032
2020,Pennsylvania,11/3/2020,Joseph R. Biden Jr.,10/17/2020,10/20/2020,Citizen Data,1000,lv,0.84,0.3767777,43.99,45.70989,45.65656,NA,72185,135395
2020,North Carolina,44138,Joseph R. Biden Jr.,44121,44124,Citizen Data,1000,lv,0.8386342,0.3464956,50.15,49.93648,49.888,NA,72183,135393
2020,Pennsylvania,11/3/2020,Joseph R. Biden Jr.,10/23/2020,44130,Civiqs,1145,lv,0.89,0.6865926,52,50.96398,50.92224,NA,72039,135049
2020,Pennsylvania,44138,Joseph R. Biden Jr.,43888,"$43,893.00",Civiqs,2462,a,0.9992957,0,46,46.68612,48.88914,NA,71656,134242
2020,Pennsylvania,44138,Joseph R. Biden Jr.,43904,"$43,908.00",Civiqs,1589,a,0.7600638,0,46,46.68612,49.02021,NA,71655,134241
2020,Pennsylvania,44138,Joseph R. Biden Jr.,43925,"$43,929.00",Civiqs,1912,a,0.9893469,0,47,47.68723,50.31694,NA,71654,134240
2020,Pennsylvania,44138,Joseph R. Biden Jr.,43981,"$43,984.00",Civiqs,2045,a,0.8522091,0,49,49.68839,51.34432,NA,71653,134239
2020,Pennsylvania,44138,Joseph R. Biden Jr.,43988,43993,Civiqs,1221,a,0.5665522,0,49,49.68839,51.02766,NA,71652,134238
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44121,44125,Civiqs,1577,a,0.6416456,0.2702048,52,52.6875,52.60624,NA,71651,134237
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Thursday, October 8, 2020",44115,Civiqs,600,lv,0.4137503,0.1009629,52,50.48113,50.44353,NA,71104,133107
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Friday, September 11, 2020",9/15/2020,Civiqs,549,rv,0.5378139,0,52,51.36915,52.31794,NA,69537,129546
2020,Pennsylvania,44138,Joseph R. Biden Jr.,44056,44060,Civiqs,617,rv,0.5686046,0,51,50.36877,51.33498,NA,68148,127645
2020,North Carolina,44138,Joseph R. Biden Jr.,"Sunday, October 11, 2020",NA,Civiqs,1211,lv,1.037819,0.2824152,51,50.05919,50.01477,NA,71070,133032
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Tuesday, September 8, 2020",9/11/2020,Climate Nexus,659,rv,0.6591295,0,48,49.10949,50.1032,NA,69559,129592
2020,Pennsylvania,44138,Joseph R. Biden Jr.,"Tuesday, September 15, 2020",9/17/2020,CPEC,820,lv,0.6651533,0,50.3,50.25144,51.13179,NA,69704,129973
2020,North Carolina,44138,Joseph R. Biden Jr.,"Thursday, October 15, 2020",44122,Data for Progress,929,lv,0.6487843,0.2074012,48,47.006,46.95403,NA,71752,134442
2020,North Carolina,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,44104,44109,Data for Progress,1285,lv,0.8660193,0.0112307,51,50.00449,50.14535,NA,70657,132125
2020,North Carolina,44138,Joseph R. Biden Jr.,44036,44045,Data for Progress,1170,lv,1.2,0,47.5,47.13413,48.28976,NA,67937,127192
2020,North Carolina,44138,Joseph R. Biden Jr.,44131,44132,East Carolina University,1103,lv,1.042639,0.939135,50.32,50.39392,50.39997,NA,72332,135709
2020,North Carolina,44138,Joseph R. Biden Jr.,"Thursday, October 15, 2020",44122,East Carolina University,1155,lv,0.9392156,0.3056913,50.6,50.67391,50.6295,NA,71452,133822
