cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wyoming,44138,Joseph R. Biden Jr.,10/20/2020,44136,SurveyMonkey,330,lv,0.165557,0.165557,33,31.85685,31.8563,T,72663,136416
2020,Wyoming,44138,Joseph R. Biden Jr.,10/18/2020,"$44,135.00",SurveyMonkey,361,lv,0.0257641,0.0256049,34,32.84583,32.83956,T,72525,136147
2020,Wyoming,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,10/17/2020,"$44,134.00",Survey Monkey,378,lv,0.0134396,0.0132735,33,31.85685,31.85175,T,72424,135950
2020,WY,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,10/16/2020,"$44,133.00",Survey Monkey,1,LV,400,0.013703,33,31.85685,31.85221,T,72345,135785
2020,Wyoming,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,10/8/2020,"$44,132.00",University of Wyoming,614,lv,,,,,,,72334,135714
2020,Wyoming,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,10/1/2020,44132,SurveyMonkey,739,lv,0.1867351,0.1717317,31,29.88091,29.88982,T,72242,135582
2020,Wyoming,"Tuesday, November 3, 2020",Biden,9/30/2020,44131,SurveyMonkey,713,lv,0.0119884,0.0109511,32,30.86854,30.87991,T,72088,135215
2020,Wyoming,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,44102,44129,SurveyMonkey,654,lv,0.021818,0.0192559,31,29.88091,29.91348,T,71978,134981
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2020,Wisconsin,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,44070,44079,Morning Consult,763,lv,0.0688391,0,50,49.89547,51.03762,T,68496,128232
2020,Wisconsin,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,44076,44078,YouGov,978,lv,1.16881,0,50,50.24722,51.38994,,68495,128231
2020,Wisconsin,"Tuesday, November 3, 2020",Joseph R. Biden Jr.,44069,44078,Morning Consult,775,lv,0.0720719,0,51,50.89549,52.0688,T,68490,128220
2020,Wisconsin,44138,Joseph R. Biden Jr.,44068,44077,Morning Consult,797,lv,0.0763917,0,52,51.89557,53.08863,T,68488,128216
2020,Wisconsin,44138,Joseph R. Biden Jr.,44060,44063,Hodas & Associates,600,lv,0.7015365,0,51.91,51.30148,52.5119,,68485,128206
2020,Wisconsin,44138,Joseph R. Biden Jr.,44067,44076,Morning Consult,1,lv,0.0799419,0,52,51.89557,53.1062,T,68471,128182
2020,Wisconsin,44138,Joseph R. Biden Jr.,44066,44075,Morning Consult,809,lv,0.0812179,0,52,51.89557,53.11373,T,68457,128143
2020,Wisconsin,44138,Joseph R. Biden Jr.,44065,8/31/2020,Morning Consult,819,lv,0.0840924,0,53,52.8957,54.11799,TR,68456,128142
20,Wisconsin,44138,Joseph R. Biden Jr.,44063,8/29/2020,Morning Consult,797,lv,0.0865649,0,51,50.89549,52.12911,T,68455,128141
20,Wisconsin,44138,Joseph R. Biden Jr.,44062,8/28/2020,Morning Consult,797,lv,0.0889819,0,51,50.89549,52.13099,T,68454,128140
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,44061,8/27/2020,Morning Consult,,,,,,,,,,
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,44060,8/26/2020,Morning Consult,797,lv,0.0870957,0,52,51.89557,53.11942,T,68452,128138
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,44059,8/25/2020,Morning Consult,797,lv,0.0836143,0,NA,50.89549,52.11339,T,68451,128137
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,44058,8/24/2020,Morning Consult,797,lv,0.0807407,0,50,49.89547,51.10677,T,68450,128136
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,44057,8/23/2020,Morning Consult,797,lv,0.0794119,0,51,50.89549,52.09915,T,68449,128135
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,44056,8/22/2020,Morning Consult,797,lv,0.0786242,0,50,49.89547,51.08849,T,68448,128134
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,44055,8/21/2020,Morning Consult,797,lv,0.0778953,0,50,49.89547,51.07835,T,68447,128133
2020,Wisconsin,11/3/2020,Joseph R. Biden Jr.,44054,8/20/2020,Morning Consult,797,lv,0.0674295,0,51,50.89549,52.02598,T,68446,128132
